Date,Stock Price, Option Price, Implied Volatility, Delta, Hedging Error, PNL, PNL with hedge, Total Wealth
2011-07-05,532.44,44.2,0.260624,0.722633,0,0,0,0
2011-07-06,535.36,46.9,0.269565,0.733309,-0.592479,-2.7,-0.592479,-0.592479
2011-07-07,546.6,55.3,0.269321,0.787581,-0.752694,-11.1,-0.752694,-0.752694
2011-07-08,531.99,43.95,0.267242,0.719407,-0.912379,0.25,-0.912379,-0.912379
2011-07-11,527.28,41,0.277795,0.691482,-1.35263,3.2,-1.35263,-1.35263
2011-07-12,534.01,46.4,0.28786,0.72275,-2.10115,-2.2,-2.10115,-2.10115
2011-07-13,538.26,49.3,0.287338,0.745049,-1.93203,-5.1,-1.93203,-1.93203
2011-07-14,528.94,41.15,0.271513,0.706904,-0.727863,3.05,-0.727863,-0.727863
2011-07-15,597.62,99.65,0.279853,0.940776,-10.6795,-55.45,-10.6795,-10.6795
2011-07-18,594.94,97.65,0.302604,0.926409,-11.2036,-53.45,-11.2036,-11.2036
2011-07-19,602.55,103.8,0.267311,0.960262,-10.3064,-59.6,-10.3064,-10.3064
2011-07-20,595.35,97.8,0.299865,0.931922,-11.2239,-53.6,-11.2239,-11.2239
2011-07-21,606.99,108.15,0.274795,0.964282,-10.7303,-63.95,-10.7303,-10.7303
2011-07-22,618.23,118.7,0.246544,0.986071,-10.4458,-74.5,-10.4458,-10.4458
2011-07-25,618.98,119.95,0.296668,0.971531,-10.9602,-75.75,-10.9602,-10.9602
2011-07-26,622.52,123.25,0.288246,0.978548,-10.8249,-79.05,-10.8249,-10.8249
2011-07-27,607.22,108.65,0.304893,0.95769,-11.201,-64.45,-11.201,-11.201
2011-07-28,610.94,112.1,0.301475,0.965004,-11.0925,-67.9,-11.0925,-11.0925
2011-07-29,603.69,106.8,0.367076,0.924744,-12.7928,-62.6,-12.7928,-12.7928
